Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
150000.0,2.0,2459.0,23,25,2015,61.0,33.0,9.0,Зарічна,19.0
499990.0,3.0,3125.0,5,11,2005,160.0,37.0,14.0,Тургенєвська,109.0
66624.0,3.0,833.1,13,26,2009,69.0,37.0,14.0,Радченка,18.0
140000.0,3.0,1265.0,6,9,2009,69.0,37.0,38.0,Зарічна,18.0
68900.0,1.0,1531.0,8,9,2016,45.0,25.0,11.0,Метрологічна,9.0
49500.0,2.0,1053.0,5,9,1969,47.0,28.0,7.0,Кольцова,12.0
138000.0,2.0,2300.0,13,14,2017,60.0,30.0,10.0,Максимовича,20.0
55500.0,2.0,911.0,8,18,1971,69.0,28.0,14.0,Науки,27.0
206000.0,3.0,1943.0,18,20,2008,106.0,58.0,14.0,Саперно-Слобідська,34.0
110000.0,1.0,3333.0,3,10,1977,33.0,20.0,14.0,Шовковична,18.0
250000.0,3.0,2809.0,3,23,2019,89.0,37.0,14.0,Трускавецька,38.0
59157.0,2.0,873.0,11,17,2009,69.0,37.0,14.0,Гавела,18.0
53000.0,1.0,1152.0,7,25,2009,46.0,37.0,14.0,Повітрофлотський,18.0
58000.0,3.0,1000.0,9,9,1967,58.0,37.0,8.0,Запорожця,13.0
177000.0,2.0,2185.0,5,13,2019,81.0,55.0,15.0,Маккейна,11.0
86000.0,1.0,1654.0,8,36,2009,52.0,19.0,14.0,Перемоги,19.0
70000.0,3.0,745.0,4,20,2014,94.0,45.0,14.0,Щербаківського,35.0
73000.0,1.0,1521.0,20,26,2018,48.0,10.0,23.0,Зарічна,15.0
45000.0,1.0,1125.0,9,10,1994,40.0,18.0,9.0,Будищанська,13.0
115000.0,1.0,2300.0,10,24,2019,50.0,17.0,21.0,Жилянська,12.0
88000.0,2.0,989.0,4,25,2014,89.0,60.0,15.0,Ревуцького,14.0
29900.0,1.0,906.0,4,4,1960,33.0,19.0,6.0,Бородіна,8.0
